

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.


                         Increment number  29
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.99E-03  0.16E+01  0.10E-04  0.98E+00

     Power:  0.67472E+07


                         Increment number  30
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.27E+01  0.10E-04  0.98E+00

     Power:  0.69802E+07


                         Increment number  31
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.29E+01  0.11E-04  0.98E+00
              2      0.10E-02  0.14E+01  0.12E-04  0.98E+00

     Power:  0.72133E+07


                         Increment number  32
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.18E+01  0.11E-04  0.98E+00
              2      0.99E-03  0.15E+01  0.13E-04  0.98E+00

     Power:  0.74464E+07


                         Increment number  33
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.20E+01  0.11E-04  0.98E+00

     Power:  0.76795E+07


                         Increment number  34
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.30E+01  0.12E-04  0.98E+00
              2      0.99E-03  0.18E+01  0.15E-04  0.98E+00

     Power:  0.79126E+07


                         Increment number  35
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.19E+01  0.14E-04  0.98E+00
              2      0.99E-03  0.18E+01  0.15E-04  0.98E+00

     Power:  0.81458E+07


                         Increment number  36
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.23E+01  0.14E-04  0.98E+00
              2      0.98E-03  0.19E+01  0.15E-04  0.98E+00

     Power:  0.83790E+07


                         Increment number  37
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.24E+01  0.14E-04  0.98E+00
              2      0.10E-02  0.21E+01  0.15E-04  0.98E+00
              3      0.97E-03  0.19E+01  0.14E-04  0.98E+00

     Power:  0.86122E+07


                         Increment number  38
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.25E+01  0.13E-04  0.98E+00
              2      0.10E-02  0.22E+01  0.15E-04  0.98E+00
              3      0.10E-02  0.21E+01  0.14E-04  0.98E+00

     Power:  0.88455E+07


                         Increment number  39
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.27E+01  0.14E-04  0.98E+00
              2      0.11E-02  0.25E+01  0.18E-04  0.98E+00
              3      0.11E-02  0.23E+01  0.17E-04  0.98E+00
              4      0.10E-02  0.22E+01  0.16E-04  0.98E+00
              5      0.98E-03  0.21E+01  0.15E-04  0.98E+00

     Power:  0.90787E+07


                         Increment number  40
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.26E+01  0.16E-04  0.98E+00
              2      0.11E-02  0.24E+01  0.19E-04  0.98E+00
              3      0.10E-02  0.23E+01  0.18E-04  0.98E+00
              4      0.96E-03  0.21E+01  0.17E-04  0.98E+00

