

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
             19      0.12E-02  0.54E-03  0.40E-04  0.98E+00
             20      0.12E-02  0.54E-03  0.40E-04  0.98E+00

     Power:   98.919    


                         Increment number  18
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.71E-03  0.38E-04  0.98E+00
              2      0.12E-02  0.55E-03  0.46E-04  0.98E+00
              3      0.12E-02  0.55E-03  0.41E-04  0.98E+00
              4      0.12E-02  0.55E-03  0.41E-04  0.98E+00
              5      0.12E-02  0.55E-03  0.41E-04  0.98E+00
              6      0.12E-02  0.55E-03  0.41E-04  0.98E+00
              7      0.12E-02  0.55E-03  0.41E-04  0.98E+00
              8      0.12E-02  0.55E-03  0.41E-04  0.98E+00
              9      0.12E-02  0.55E-03  0.41E-04  0.98E+00
             10      0.12E-02  0.55E-03  0.41E-04  0.98E+00
             11      0.12E-02  0.55E-03  0.41E-04  0.98E+00
             12      0.12E-02  0.55E-03  0.41E-04  0.98E+00
             13      0.12E-02  0.55E-03  0.41E-04  0.98E+00
             14      0.12E-02  0.55E-03  0.41E-04  0.98E+00
             15      0.12E-02  0.55E-03  0.42E-04  0.98E+00
             16      0.12E-02  0.55E-03  0.42E-04  0.98E+00
             17      0.12E-02  0.54E-03  0.42E-04  0.98E+00
             18      0.12E-02  0.54E-03  0.42E-04  0.98E+00
             19      0.12E-02  0.54E-03  0.42E-04  0.98E+00
             20      0.12E-02  0.54E-03  0.42E-04  0.98E+00

     Power:   104.88    


                         Increment number  19
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.70E-03  0.40E-04  0.98E+00
              2      0.12E-02  0.55E-03  0.48E-04  0.98E+00
              3      0.12E-02  0.55E-03  0.43E-04  0.98E+00
              4      0.12E-02  0.55E-03  0.43E-04  0.98E+00
              5      0.12E-02  0.55E-03  0.43E-04  0.98E+00
              6      0.12E-02  0.55E-03  0.43E-04  0.98E+00
              7      0.12E-02  0.54E-03  0.43E-04  0.98E+00
              8      0.12E-02  0.54E-03  0.43E-04  0.98E+00
              9      0.12E-02  0.54E-03  0.43E-04  0.98E+00
             10      0.12E-02  0.54E-03  0.43E-04  0.98E+00
             11      0.12E-02  0.54E-03  0.43E-04  0.98E+00
             12      0.12E-02  0.54E-03  0.43E-04  0.98E+00
             13      0.12E-02  0.54E-03  0.44E-04  0.98E+00
             14      0.12E-02  0.54E-03  0.44E-04  0.98E+00
             15      0.12E-02  0.54E-03  0.44E-04  0.98E+00
             16      0.12E-02  0.54E-03  0.44E-04  0.98E+00
             17      0.12E-02  0.54E-03  0.44E-04  0.98E+00
             18      0.12E-02  0.54E-03  0.44E-04  0.98E+00
             19      0.12E-02  0.54E-03  0.44E-04  0.98E+00
             20      0.12E-02  0.54E-03  0.44E-04  0.98E+00

     Power:   110.84    


                         Increment number  20
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.69E-03  0.42E-04  0.98E+00
              2      0.11E-02  0.54E-03  0.51E-04  0.98E+00
              3      0.11E-02  0.54E-03  0.45E-04  0.98E+00
              4      0.11E-02  0.54E-03  0.45E-04  0.98E+00
              5      0.11E-02  0.54E-03  0.45E-04  0.98E+00
              6      0.11E-02  0.54E-03  0.45E-04  0.98E+00
              7      0.11E-02  0.54E-03  0.45E-04  0.98E+00
              8      0.11E-02  0.54E-03  0.45E-04  0.98E+00
              9      0.11E-02  0.54E-03  0.45E-04  0.98E+00
             10      0.11E-02  0.54E-03  0.45E-04  0.98E+00
             11      0.11E-02  0.54E-03  0.46E-04  0.98E+00
             12      0.11E-02  0.54E-03  0.46E-04  0.98E+00
             13      0.11E-02  0.54E-03  0.46E-04  0.98E+00
             14      0.11E-02  0.54E-03  0.46E-04  0.98E+00
             15      0.11E-02  0.54E-03  0.46E-04  0.98E+00
             16      0.11E-02  0.54E-03  0.46E-04  0.98E+00
             17      0.11E-02  0.54E-03  0.46E-04  0.98E+00
             18      0.11E-02  0.54E-03  0.46E-04  0.98E+00
             19      0.11E-02  0.54E-03  0.46E-04  0.98E+00
             20      0.11E-02  0.53E-03  0.47E-04  0.98E+00

     Power:   116.80    


                         Increment number  21
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.70E-03  0.45E-04  0.98E+00
              2      0.11E-02  0.53E-03  0.53E-04  0.98E+00
              3      0.11E-02  0.53E-03  0.48E-04  0.98E+00
              4      0.11E-02  0.53E-03  0.47E-04  0.98E+00
              5      0.11E-02  0.53E-03  0.47E-04  0.98E+00
              6      0.11E-02  0.53E-03  0.47E-04  0.98E+00
              7      0.11E-02  0.53E-03  0.47E-04  0.98E+00
              8      0.11E-02  0.53E-03  0.47E-04  0.98E+00
              9      0.11E-02  0.53E-03  0.48E-04  0.98E+00
             10      0.11E-02  0.53E-03  0.48E-04  0.98E+00
             11      0.11E-02  0.53E-03  0.48E-04  0.98E+00
             12      0.11E-02  0.53E-03  0.48E-04  0.98E+00
             13      0.11E-02  0.53E-03  0.48E-04  0.98E+00
             14      0.11E-02  0.52E-03  0.48E-04  0.98E+00
             15      0.11E-02  0.52E-03  0.48E-04  0.98E+00
             16      0.11E-02  0.52E-03  0.48E-04  0.98E+00
             17      0.11E-02  0.52E-03  0.48E-04  0.98E+00
             18      0.11E-02  0.52E-03  0.49E-04  0.98E+00
             19      0.11E-02  0.52E-03  0.49E-04  0.98E+00
             20      0.11E-02  0.52E-03  0.49E-04  0.98E+00

     Power:   122.77    


                         Increment number  22
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.16E-02  0.47E-04  0.98E+00
              2      0.11E-02  0.51E-03  0.56E-04  0.98E+00
              3      0.11E-02  0.51E-03  0.50E-04  0.98E+00
              4      0.11E-02  0.51E-03  0.49E-04  0.98E+00
              5      0.11E-02  0.51E-03  0.49E-04  0.98E+00
              6      0.11E-02  0.51E-03  0.49E-04  0.98E+00
              7      0.11E-02  0.51E-03  0.49E-04  0.98E+00
              8      0.11E-02  0.51E-03  0.50E-04  0.98E+00
              9      0.11E-02  0.51E-03  0.50E-04  0.98E+00
             10      0.11E-02  0.51E-03  0.50E-04  0.98E+00
             11      0.11E-02  0.51E-03  0.50E-04  0.98E+00
             12      0.11E-02  0.51E-03  0.50E-04  0.98E+00
             13      0.11E-02  0.51E-03  0.50E-04  0.98E+00
             14      0.11E-02  0.51E-03  0.50E-04  0.98E+00
             15      0.11E-02  0.51E-03  0.50E-04  0.98E+00
             16      0.11E-02  0.51E-03  0.50E-04  0.98E+00
             17      0.11E-02  0.51E-03  0.51E-04  0.98E+00
             18      0.11E-02  0.51E-03  0.51E-04  0.98E+00
             19      0.11E-02  0.51E-03  0.51E-04  0.98E+00
             20      0.11E-02  0.51E-03  0.51E-04  0.98E+00

     Power:   128.73    


                         Increment number  23
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.58E-02  0.49E-04  0.98E+00
              2      0.10E-02  0.51E-03  0.60E-04  0.98E+00
              3      0.10E-02  0.49E-03  0.52E-04  0.98E+00
              4      0.10E-02  0.49E-03  0.51E-04  0.98E+00
              5      0.10E-02  0.49E-03  0.51E-04  0.98E+00
