

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
             20      0.25E-02  0.28E-01  0.19E-03  0.95E+00

     Power:   324.00    


                         Increment number  16
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.26E-02  0.45E-01  0.18E-03  0.95E+00
              2      0.26E-02  0.29E-01  0.20E-03  0.95E+00
              3      0.26E-02  0.29E-01  0.19E-03  0.95E+00
              4      0.26E-02  0.29E-01  0.19E-03  0.95E+00
              5      0.26E-02  0.28E-01  0.19E-03  0.95E+00
              6      0.26E-02  0.28E-01  0.19E-03  0.95E+00
              7      0.26E-02  0.28E-01  0.19E-03  0.95E+00
              8      0.25E-02  0.28E-01  0.19E-03  0.95E+00
              9      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             10      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             11      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             12      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             13      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             14      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             15      0.25E-02  0.27E-01  0.19E-03  0.95E+00
             16      0.25E-02  0.27E-01  0.19E-03  0.95E+00
             17      0.25E-02  0.27E-01  0.19E-03  0.95E+00
             18      0.24E-02  0.27E-01  0.19E-03  0.95E+00
             19      0.24E-02  0.27E-01  0.19E-03  0.95E+00
             20      0.24E-02  0.27E-01  0.19E-03  0.95E+00

     Power:   345.72    


                         Increment number  17
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.26E-02  0.48E-01  0.18E-03  0.95E+00
              2      0.26E-02  0.29E-01  0.20E-03  0.95E+00
              3      0.26E-02  0.29E-01  0.20E-03  0.95E+00
              4      0.26E-02  0.28E-01  0.19E-03  0.95E+00
              5      0.26E-02  0.28E-01  0.19E-03  0.95E+00
              6      0.26E-02  0.28E-01  0.19E-03  0.95E+00
              7      0.25E-02  0.28E-01  0.19E-03  0.95E+00
              8      0.25E-02  0.28E-01  0.19E-03  0.95E+00
              9      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             10      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             11      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             12      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             13      0.25E-02  0.27E-01  0.19E-03  0.95E+00
             14      0.25E-02  0.27E-01  0.19E-03  0.95E+00
             15      0.25E-02  0.27E-01  0.19E-03  0.95E+00
             16      0.24E-02  0.27E-01  0.19E-03  0.95E+00
             17      0.24E-02  0.27E-01  0.19E-03  0.95E+00
             18      0.24E-02  0.27E-01  0.19E-03  0.95E+00
             19      0.24E-02  0.27E-01  0.19E-03  0.95E+00
             20      0.24E-02  0.27E-01  0.19E-03  0.95E+00

     Power:   367.44    


                         Increment number  18
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.26E-02  0.50E-01  0.18E-03  0.95E+00
              2      0.26E-02  0.28E-01  0.20E-03  0.95E+00
              3      0.26E-02  0.28E-01  0.19E-03  0.95E+00
              4      0.26E-02  0.28E-01  0.19E-03  0.95E+00
              5      0.25E-02  0.28E-01  0.19E-03  0.95E+00
              6      0.25E-02  0.28E-01  0.19E-03  0.95E+00
              7      0.25E-02  0.28E-01  0.19E-03  0.95E+00
              8      0.25E-02  0.28E-01  0.19E-03  0.95E+00
              9      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             10      0.25E-02  0.28E-01  0.19E-03  0.95E+00
             11      0.25E-02  0.27E-01  0.19E-03  0.95E+00
             12      0.25E-02  0.27E-01  0.19E-03  0.95E+00
             13      0.25E-02  0.27E-01  0.19E-03  0.95E+00
             14      0.25E-02  0.27E-01  0.19E-03  0.95E+00
             15      0.24E-02  0.27E-01  0.19E-03  0.95E+00
             16      0.24E-02  0.27E-01  0.19E-03  0.95E+00
             17      0.24E-02  0.27E-01  0.19E-03  0.95E+00
             18      0.24E-02  0.27E-01  0.19E-03  0.95E+00
             19      0.24E-02  0.27E-01  0.19E-03  0.95E+00
             20      0.24E-02  0.27E-01  0.18E-03  0.95E+00

     Power:   389.17    


                         Increment number  19
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.25E-02  0.51E-01  0.18E-03  0.95E+00
              2      0.25E-02  0.28E-01  0.20E-03  0.95E+00
              3      0.25E-02  0.28E-01  0.19E-03  0.95E+00
              4      0.25E-02  0.28E-01  0.18E-03  0.95E+00
              5      0.25E-02  0.27E-01  0.19E-03  0.95E+00
              6      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              7      0.25E-02  0.27E-01  0.19E-03  0.95E+00
              8      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              9      0.25E-02  0.27E-01  0.18E-03  0.95E+00
             10      0.25E-02  0.27E-01  0.18E-03  0.95E+00
             11      0.25E-02  0.27E-01  0.18E-03  0.95E+00
             12      0.24E-02  0.27E-01  0.18E-03  0.95E+00
             13      0.24E-02  0.27E-01  0.18E-03  0.95E+00
             14      0.24E-02  0.27E-01  0.18E-03  0.95E+00
             15      0.24E-02  0.27E-01  0.18E-03  0.95E+00
             16      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             17      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             18      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             19      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             20      0.24E-02  0.26E-01  0.18E-03  0.95E+00

     Power:   410.91    


                         Increment number  20
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.25E-02  0.52E-01  0.17E-03  0.95E+00
              2      0.25E-02  0.27E-01  0.19E-03  0.95E+00
              3      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              4      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              5      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              6      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              7      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              8      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              9      0.25E-02  0.27E-01  0.18E-03  0.95E+00
             10      0.24E-02  0.27E-01  0.18E-03  0.95E+00
             11      0.24E-02  0.27E-01  0.18E-03  0.95E+00
             12      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             13      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             14      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             15      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             16      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             17      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             18      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             19      0.24E-02  0.26E-01  0.18E-03  0.95E+00
             20      0.24E-02  0.26E-01  0.18E-03  0.95E+00

     Power:   432.66    


                         Increment number  21
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.25E-02  0.52E-01  0.17E-03  0.95E+00
              2      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              3      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              4      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              5      0.25E-02  0.27E-01  0.18E-03  0.95E+00
              6      0.25E-02  0.27E-01  0.17E-03  0.95E+00
              7      0.25E-02  0.27E-01  0.17E-03  0.95E+00
              8      0.25E-02  0.27E-01  0.17E-03  0.95E+00
